,title,description,sub_category,skills,num_skills
40,Fintech: Foundations & Applications of Financial Technology Specialization,Discover how to produce visual data analytics and business insights with the powerful Python programming language.,Business Essentials,"['Investment Management', 'Cryptocurrency', 'regulation', 'Blockchain']",4
41,Microsoft 365 Fundamentals Specialization,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,Business Essentials,"['Create and maintain professional looking documents', 'Create and edit a workbook with multiple sheets', 'Represent data visually', 'Create and manage presentations', 'Describe the apps and services available in a Microsoft 365 subscription', 'Documents', 'Microsoft Word', 'Microsoft Excel', 'Chart', 'Worksheet', 'Microsoft PowerPoint', 'Presentation']",12
42,Search Engine Optimization (SEO) Specialization,Become an SEO Expert. Master search engine optimization tools and strategies,Marketing,"['Search Algorithm', 'Search Engine Optimization (SEO)', 'Mathematical Optimization', 'Semantics', 'Social Media', 'Keyword Research', 'Marketing', 'Content Marketing', 'Social Media Marketing']",9
43,AI Product Management Specialization,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",Machine Learning,"['Data Science', 'Artificial Intelligence (AI)', 'Machine Learning', 'Predictive Analytics', 'Modeling', 'Artificial Neural Network', 'Project Management', 'Privacy', 'Design Thinking', 'Ethics']",10
44,Introduction to Programming with Python and Java Specialization,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",Software Development,"['Programming Principles', 'Python Programming', 'Java Programming', 'Data Structure', 'Computer Programming', 'Python Tools', 'Python Syntax And Semantics', 'Data Science', 'Python Libraries', 'Data Analysis', 'Data Visualization (DataViz)', 'Java Tools']",12
45,Construction Management Specialization,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,Leadership and Management,"['Schedule', 'Cost Estimate', 'Cost Control', 'Finance', 'Real Estate finance', 'Project Management', 'Construction Management', 'Work Breakdown Structure', 'Project Planning', 'Linear Scheduling Method', 'Program Evaluation And Review Technique (PERT)', 'Critical Path Method']",12
46,IBM Introduction to Machine Learning Specialization,Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM’s experts.,Data Analysis,"['Machine Learning Regression', 'Machine Learning Classification', 'Machine Learning', 'Unsupervised Learning', 'Exploratory Data Analysis', 'Artificial Intelligence (AI)', 'Feature Engineering', 'Statistical Hypothesis Testing', 'Regression Analysis', 'Supervised Learning', 'Linear Regression', 'Ridge Regression']",12
47,Data Analysis and Presentation Skills: the PwC Approach Specialization,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",Business Essentials,"['Data Analysis', 'Microsoft Excel', 'Data Visualization (DataViz)', 'Presentation', 'Data-Informed Decision-Making', 'Big Data', 'Pivot Table', 'Data Cleansing', 'Dashboard (Business)', 'Data Virtualization', 'Communication', 'Presentation Design']",12
48,AWS Fundamentals Specialization,Discover how to produce visual data analytics and business insights with the powerful Python programming language.,Cloud Computing,"['AWS Identity and Access Management', 'Networking on AWS', 'AWS Management Console', 'Cloud Computing', 'aws security', 'aws', 'Information Privacy', 'Cloud Management', 'security', 'Cloud Applications', 'AWS Lambda', 'Amazon Lex']",12
49,Data Science: Foundations using R Specialization,Discover how to produce visual data analytics and business insights with the powerful Python programming language.,Data Analysis,"['Data Science', 'Machine Learning', 'Github', 'R Programming', 'Exploratory Data Analysis', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']",12
